Date,State,Unemployment_Rate,Labour_Participation_Rate,Employment_Rate,Estimated_Employed,Estimated_Unemployed,Region
2020-01-26,Bihar,21.74,40.85,31.97,310258,86186,East
2020-01-26,Chhattisgarh,17.85,38.54,31.66,1492094,324135,Central
2020-01-26,Goa,20.87,38.88,30.77,903348,238206,West
2020-01-26,Gujarat,15.19,50.14,42.53,1746850,312767,West
2020-01-26,Haryana,29.74,43.77,30.75,1281365,542432,North
2020-01-26,Himachal Pradesh,19.38,45.69,36.83,1250930,300727,North
2020-01-26,Jharkhand,18.89,46.95,38.08,1444145,336226,East
2020-01-26,Karnataka,13.31,52.82,45.79,680681,104472,South
2020-01-26,Kerala,21.94,54.59,42.61,859085,241459,South
2020-01-26,Madhya Pradesh,15.95,49.2,41.35,1133855,215095,Central
2020-01-26,Maharashtra,16.67,47.44,39.53,1477136,295459,West
2020-01-26,Manipur,23.56,41.39,31.64,1126753,347235,Northeast
2020-01-26,Meghalaya,16.42,39.23,32.79,209147,41098,Northeast
2020-01-26,Mizoram,13.82,52.76,45.47,1715189,275079,Northeast
2020-01-26,Nagaland,29.69,50.63,35.59,859495,362980,Northeast
2020-01-26,Odisha,15.25,54.79,46.44,315996,56845,East
2020-01-26,Punjab,17.66,52.74,43.43,1348023,289032,North
2020-01-26,Rajasthan,37.47,46.27,28.93,1281838,768258,North
2020-01-26,Sikkim,12.86,53.31,46.46,1113896,164387,Northeast
2020-01-26,Tamil Nadu,15.25,53.51,45.35,656664,118151,South
2020-01-26,Telangana,15.37,48.59,41.12,1374373,249528,South
2020-01-26,Tripura,19.33,50.17,40.47,1857973,445109,Northeast
2020-01-26,Uttar Pradesh,15.64,41.05,34.63,543359,100765,North
2020-01-26,Uttarakhand,15.01,42.2,35.87,1584856,279826,North
2020-01-26,West Bengal,17.47,45.57,37.61,1059386,224178,East
2020-01-26,Delhi,26.15,40.78,30.12,680616,240955,North
2020-01-26,Jammu & Kashmir,22.34,54.48,42.31,703051,202188,North
2020-02-25,Andhra Pradesh,20.25,40.22,32.08,1560350,396265,South
2020-02-25,Arunachal Pradesh,16.5,45.71,38.17,596326,117836,Northeast
2020-02-25,Assam,19.29,52.09,42.04,1025414,245082,Northeast
2020-02-25,Bihar,23.37,42.23,32.36,1060471,323409,East
2020-02-25,Chhattisgarh,18.0,40.85,33.5,222771,48886,Central
2020-02-25,Goa,22.48,50.52,39.16,1365581,396071,West
2020-02-25,Gujarat,17.54,51.7,42.63,1336060,284153,West
2020-02-25,Haryana,31.29,52.76,36.25,517018,235498,North
2020-02-25,Himachal Pradesh,20.0,38.97,31.17,901024,225325,North
2020-02-25,Jharkhand,20.23,53.92,43.02,291239,73839,East
2020-02-25,Karnataka,15.66,53.88,45.44,873637,162234,South
2020-02-25,Kerala,23.44,46.62,35.7,245254,75081,South
2020-02-25,Madhya Pradesh,17.58,52.75,43.48,1107181,236124,Central
2020-02-25,Maharashtra,19.43,46.77,37.68,1017272,245297,West
2020-02-25,Manipur,24.77,38.51,28.97,546300,179868,Northeast
2020-02-25,Meghalaya,18.59,49.98,40.69,573037,130845,Northeast
2020-02-25,Mizoram,16.19,45.54,38.17,1682071,324878,Northeast
2020-02-25,Nagaland,32.45,41.01,27.71,1002039,481273,Northeast
2020-02-25,Odisha,18.14,48.5,39.7,1750977,388057,East
2020-02-25,Punjab,22.37,47.7,37.03,235786,67941,North
2020-02-25,Rajasthan,38.22,49.5,30.58,449680,278246,North
2020-02-25,Sikkim,15.53,49.2,41.56,944455,173584,Northeast
2020-02-25,Tamil Nadu,16.05,49.18,41.29,2063404,394466,South
2020-02-25,Telangana,18.8,38.82,31.52,1543627,357478,South
2020-02-25,Tripura,22.57,51.3,39.72,1212138,353335,Northeast
2020-02-25,Uttar Pradesh,17.06,50.55,41.93,1867139,384175,North
2020-02-25,Uttarakhand,15.62,49.35,41.64,1722002,318733,North
2020-02-25,West Bengal,17.72,50.96,41.93,1714973,369325,East
2020-02-25,Delhi,28.2,40.04,28.75,848241,333123,North
2020-02-25,Jammu & Kashmir,25.46,38.1,28.4,556805,190156,North
2020-03-26,Andhra Pradesh,17.94,44.61,36.6,922078,201588,South
2020-03-26,Arunachal Pradesh,13.69,42.04,36.28,790867,125411,Northeast
2020-03-26,Assam,19.58,48.53,39.03,1009201,245684,Northeast
2020-03-26,Bihar,21.27,44.46,35.0,1534723,414688,East
2020-03-26,Chhattisgarh,13.97,38.44,33.07,673143,109263,Central
2020-03-26,Goa,21.2,44.46,35.04,804024,216276,West
2020-03-26,Gujarat,14.68,48.33,41.24,1625576,279753,West
2020-03-26,Haryana,30.62,51.82,35.96,1341683,592035,North
2020-03-26,Himachal Pradesh,18.17,42.14,34.48,1610869,357728,North
2020-03-26,Jharkhand,18.19,39.02,31.93,1502113,333976,East
2020-03-26,Karnataka,12.46,46.26,40.5,670395,95433,South
2020-03-26,Kerala,21.34,42.84,33.7,634507,172139,South
2020-03-26,Madhya Pradesh,14.91,43.29,36.84,1195946,209536,Central
2020-03-26,Maharashtra,17.48,50.17,41.4,714983,151434,West
2020-03-26,Manipur,21.98,41.08,32.05,1142621,321876,Northeast
2020-03-26,Meghalaya,15.38,41.08,34.76,995364,180979,Northeast
2020-03-26,Mizoram,12.78,47.64,41.55,687519,100771,Northeast
2020-03-26,Nagaland,30.52,54.37,37.78,1010865,444045,Northeast
2020-03-26,Odisha,15.64,38.74,32.68,1094443,202962,East
2020-03-26,Punjab,19.16,54.17,43.8,1404659,332832,North
2020-03-26,Rajasthan,35.4,41.88,27.05,393379,215601,North
2020-03-26,Sikkim,12.5,48.39,42.34,994826,142080,Northeast
2020-03-26,Tamil Nadu,12.97,51.27,44.62,774876,115474,South
2020-03-26,Telangana,15.31,51.98,44.03,1059614,191558,South
2020-03-26,Tripura,18.53,48.61,39.6,1003075,228082,Northeast
2020-03-26,Uttar Pradesh,14.79,47.97,40.88,513457,89105,North
2020-03-26,Uttarakhand,14.77,41.68,35.53,330656,57308,North
2020-03-26,West Bengal,16.1,38.4,32.22,1091922,209467,East
2020-03-26,Delhi,25.24,41.94,31.36,708411,239115,North
2020-03-26,Jammu & Kashmir,24.73,48.11,36.21,990452,325466,North
2020-04-25,Andhra Pradesh,23.01,44.87,34.55,838461,250570,South
2020-04-25,Arunachal Pradesh,19.76,50.2,40.28,1456520,358662,Northeast
2020-04-25,Assam,24.52,47.83,36.1,625951,203332,Northeast
2020-04-25,Bihar,26.05,39.35,29.1,257665,90764,East
2020-04-25,Chhattisgarh,21.1,44.03,34.75,282272,75470,Central
2020-04-25,Goa,24.81,46.82,35.21,283162,93422,West
2020-04-25,Gujarat,19.38,47.18,38.04,1696583,407821,West
2020-04-25,Haryana,35.24,49.06,31.78,920950,501103,North
2020-04-25,Himachal Pradesh,22.64,49.38,38.2,1900022,556018,North
2020-04-25,Jharkhand,22.99,49.25,37.93,1141652,340822,East
2020-04-25,Karnataka,18.87,39.02,31.66,959388,223121,South
2020-04-25,Kerala,28.96,54.28,38.56,497000,202589,South
2020-04-25,Madhya Pradesh,19.98,47.11,37.69,352461,88029,Central
2020-04-25,Maharashtra,22.88,45.66,35.21,1374151,407693,West
2020-04-25,Manipur,29.83,51.52,36.15,1689243,718049,Northeast
2020-04-25,Meghalaya,20.61,41.99,33.34,765724,198727,Northeast
2020-04-25,Mizoram,19.34,52.31,42.2,1200281,287706,Northeast
2020-04-25,Nagaland,36.9,48.6,30.67,276325,161598,Northeast
2020-04-25,Odisha,21.05,52.04,41.09,1651278,440401,East
2020-04-25,Punjab,24.37,50.05,37.85,250864,80818,North
2020-04-25,Rajasthan,40.52,44.12,26.24,234722,159904,North
2020-04-25,Sikkim,17.77,53.93,44.35,1326937,286656,Northeast
2020-04-25,Tamil Nadu,19.3,45.6,36.8,1178644,281852,South
2020-04-25,Telangana,20.6,46.77,37.13,1722023,446664,South
2020-04-25,Tripura,25.28,52.47,39.21,563953,190781,Northeast
2020-04-25,Uttar Pradesh,20.58,53.82,42.75,437571,113357,North
2020-04-25,Uttarakhand,19.93,52.93,42.38,1867353,464681,North
2020-04-25,West Bengal,22.71,51.7,39.96,1620413,476121,East
2020-04-25,Delhi,30.07,44.85,31.36,401723,172751,North
2020-04-25,Jammu & Kashmir,28.79,49.81,35.47,729854,295046,North
2020-05-25,Andhra Pradesh,22.87,40.25,31.05,1359486,403214,South
2020-05-25,Arunachal Pradesh,20.09,53.69,42.9,1154864,290267,Northeast
2020-05-25,Assam,24.72,40.97,30.84,851788,279679,Northeast
2020-05-25,Bihar,26.25,44.78,33.02,382622,136204,East
2020-05-25,Chhattisgarh,20.82,38.44,30.44,337311,88686,Central
2020-05-25,Goa,24.56,54.37,41.02,1219501,396942,West
2020-05-25,Gujarat,19.15,43.3,35.01,972420,230321,West
2020-05-25,Haryana,34.4,45.47,29.83,291004,152568,North
2020-05-25,Himachal Pradesh,21.94,48.53,37.89,1297926,364767,North
2020-05-25,Jharkhand,23.79,40.58,30.93,240047,74917,East
2020-05-25,Karnataka,18.24,38.99,31.88,1586587,353844,South
2020-05-25,Kerala,28.1,38.98,28.03,1016787,397355,South
2020-05-25,Madhya Pradesh,19.62,49.77,40.0,312162,76173,Central
2020-05-25,Maharashtra,21.46,46.66,36.64,1826801,499271,West
2020-05-25,Manipur,28.46,43.21,30.91,1022413,406648,Northeast
2020-05-25,Meghalaya,21.86,46.96,36.69,887054,248137,Northeast
2020-05-25,Mizoram,17.51,44.25,36.5,862761,183169,Northeast
2020-05-25,Nagaland,35.43,52.07,33.62,1278073,701174,Northeast
2020-05-25,Odisha,20.34,38.33,30.53,509574,130151,East
2020-05-25,Punjab,21.33,50.92,40.06,447478,121349,North
2020-05-25,Rajasthan,39.52,38.21,23.11,366322,239399,North
2020-05-25,Sikkim,17.95,54.59,44.79,1839465,402494,Northeast
2020-05-25,Tamil Nadu,19.29,39.87,32.17,954219,228118,South
2020-05-25,Telangana,21.67,45.72,35.82,1539953,426016,South
2020-05-25,Tripura,24.38,40.55,30.66,601310,193908,Northeast
2020-05-25,Uttar Pradesh,19.16,50.54,40.85,1079364,255813,North
2020-05-25,Uttarakhand,18.51,45.81,37.33,1505428,341917,North
2020-05-25,West Bengal,19.82,53.17,42.63,2045843,505568,East
2020-05-25,Delhi,29.27,49.7,35.15,867957,359199,North
2020-05-25,Jammu & Kashmir,29.14,42.33,30.0,1284981,528376,North
2020-06-24,Andhra Pradesh,11.81,48.83,43.06,1493053,200011,South
2020-06-24,Arunachal Pradesh,10.32,53.22,47.72,1605928,184830,Northeast
2020-06-24,Assam,12.97,46.81,40.74,479009,71398,Northeast
2020-06-24,Bihar,15.82,50.54,42.54,1193303,224241,East
2020-06-24,Chhattisgarh,11.0,39.44,35.1,1307025,161560,Central
2020-06-24,Goa,14.66,39.23,33.48,274726,47179,West
2020-06-24,Gujarat,8.44,43.04,39.41,817178,75349,West
2020-06-24,Haryana,24.92,51.17,38.42,1335407,443316,North
2020-06-24,Himachal Pradesh,12.42,39.67,34.74,1206094,171089,North
2020-06-24,Jharkhand,12.84,50.99,44.45,752392,110793,East
2020-06-24,Karnataka,8.77,44.49,40.59,578661,55626,South
2020-06-24,Kerala,17.83,40.06,32.92,1075646,233454,South
2020-06-24,Madhya Pradesh,10.5,47.02,42.08,289836,33994,Central
2020-06-24,Maharashtra,12.56,54.46,47.62,1949723,280162,West
2020-06-24,Manipur,19.15,50.72,41.01,1702944,403324,Northeast
2020-06-24,Meghalaya,12.22,49.16,43.15,464490,64684,Northeast
2020-06-24,Mizoram,8.93,41.82,38.08,828236,81211,Northeast
2020-06-24,Nagaland,25.32,45.35,33.87,838962,284386,Northeast
2020-06-24,Odisha,11.15,42.09,37.4,391481,49117,East
2020-06-24,Punjab,13.4,41.36,35.81,1608471,248937,North
2020-06-24,Rajasthan,29.51,51.87,36.56,1600056,669907,North
2020-06-24,Sikkim,8.41,52.39,47.98,2224058,204341,Northeast
2020-06-24,Tamil Nadu,9.85,45.83,41.31,1771912,193697,South
2020-06-24,Telangana,10.43,50.38,45.13,1802401,209956,South
2020-06-24,Tripura,13.45,47.27,40.91,2017116,313549,Northeast
2020-06-24,Uttar Pradesh,10.19,53.94,48.44,336319,38145,North
2020-06-24,Uttarakhand,9.41,50.34,45.61,1906309,197988,North
2020-06-24,West Bengal,10.92,41.63,37.09,1029620,126159,East
2020-06-24,Delhi,20.08,47.22,37.74,1191184,299283,North
2020-06-24,Jammu & Kashmir,18.76,46.64,37.89,696795,160937,North
2020-07-24,Andhra Pradesh,11.74,48.82,43.08,1691085,225002,South
2020-07-24,Arunachal Pradesh,9.15,40.72,37.0,953422,95967,Northeast
2020-07-24,Assam,12.57,51.6,45.11,639780,92007,Northeast
2020-07-24,Bihar,14.26,47.44,40.67,1545061,256963,East
2020-07-24,Chhattisgarh,9.48,44.04,39.86,1605384,168196,Central
2020-07-24,Goa,14.2,47.42,40.69,213025,35243,West
2020-07-24,Gujarat,7.71,54.29,50.1,1080033,90255,West
2020-07-24,Haryana,23.66,43.56,33.25,389054,120570,North
2020-07-24,Himachal Pradesh,12.62,54.94,48.01,1035669,149551,North
2020-07-24,Jharkhand,12.14,45.63,40.09,1502970,207708,East
2020-07-24,Karnataka,7.72,44.66,41.21,971202,81247,South
2020-07-24,Kerala,16.79,49.83,41.46,213313,43030,South
2020-07-24,Madhya Pradesh,8.02,51.5,47.37,435084,37934,Central
2020-07-24,Maharashtra,11.85,48.0,42.31,1127335,151550,West
2020-07-24,Manipur,16.79,47.86,39.82,1205365,243195,Northeast
2020-07-24,Meghalaya,10.19,47.53,42.69,1372742,155715,Northeast
2020-07-24,Mizoram,8.56,42.59,38.94,1640508,153561,Northeast
2020-07-24,Nagaland,25.21,46.47,34.75,294277,99216,Northeast
2020-07-24,Odisha,9.8,51.34,46.31,1706305,185469,East
2020-07-24,Punjab,12.18,51.41,45.15,1276609,177016,North
2020-07-24,Rajasthan,28.93,43.58,30.97,759799,309238,North
2020-07-24,Sikkim,6.79,39.51,36.83,549715,40014,Northeast
2020-07-24,Tamil Nadu,9.65,54.97,49.67,2333839,249295,South
2020-07-24,Telangana,10.84,48.92,43.62,1044918,127103,South
2020-07-24,Tripura,14.52,40.01,34.2,801919,136184,Northeast
2020-07-24,Uttar Pradesh,9.51,52.28,47.31,1053651,110679,North
2020-07-24,Uttarakhand,10.25,41.14,36.92,786429,89793,North
2020-07-24,West Bengal,11.47,43.69,38.67,238959,30974,East
2020-07-24,Delhi,19.05,43.08,34.87,1650449,388472,North
2020-07-24,Jammu & Kashmir,16.03,42.41,35.61,866602,165378,North
2020-08-23,Andhra Pradesh,12.14,51.64,45.37,1162411,160649,South
2020-08-23,Arunachal Pradesh,10.46,46.21,41.38,455424,53195,Northeast
2020-08-23,Assam,14.2,46.44,39.84,982496,162629,Northeast
2020-08-23,Bihar,15.93,50.4,42.37,1671428,316818,East
2020-08-23,Chhattisgarh,12.02,40.3,35.46,1376128,188030,Central
2020-08-23,Goa,14.26,49.17,42.16,2025560,336858,West
2020-08-23,Gujarat,8.86,42.2,38.46,1760820,171095,West
2020-08-23,Haryana,23.72,42.24,32.22,555416,172744,North
2020-08-23,Himachal Pradesh,13.09,51.2,44.5,353389,53246,North
2020-08-23,Jharkhand,14.99,46.29,39.35,256265,45194,East
2020-08-23,Karnataka,8.92,44.99,40.98,845358,82777,South
2020-08-23,Kerala,16.43,53.3,44.54,266435,52391,South
2020-08-23,Madhya Pradesh,10.74,47.52,42.42,2000460,240575,Central
2020-08-23,Maharashtra,12.21,38.89,34.14,814120,113199,West
2020-08-23,Manipur,19.25,54.68,44.16,730551,174100,Northeast
2020-08-23,Meghalaya,10.6,49.12,43.91,611025,72463,Northeast
2020-08-23,Mizoram,7.97,54.52,50.18,1624953,140740,Northeast
2020-08-23,Nagaland,27.97,43.94,31.65,320766,124551,Northeast
2020-08-23,Odisha,10.9,42.27,37.66,1629887,199307,East
2020-08-23,Punjab,13.4,47.54,41.17,1175466,181945,North
2020-08-23,Rajasthan,30.9,50.03,34.57,1018478,455460,North
2020-08-23,Sikkim,8.36,39.39,36.1,924924,84368,Northeast
2020-08-23,Tamil Nadu,8.72,54.08,49.36,2134724,204040,South
2020-08-23,Telangana,11.59,49.37,43.65,1126327,147668,South
2020-08-23,Tripura,16.25,47.27,39.59,308885,59947,Northeast
2020-08-23,Uttar Pradesh,9.51,46.71,42.27,1745261,183414,North
2020-08-23,Uttarakhand,9.52,51.37,46.48,653528,68758,North
2020-08-23,West Bengal,11.49,42.4,37.53,465753,60463,East
2020-08-23,Delhi,21.17,46.83,36.92,524949,140950,North
2020-08-23,Jammu & Kashmir,18.12,52.92,43.33,1931793,427581,North
2020-09-22,Andhra Pradesh,11.99,54.74,48.18,1914736,260853,South
2020-09-22,Arunachal Pradesh,8.67,38.46,35.13,278697,26466,Northeast
2020-09-22,Assam,14.53,47.16,40.31,1104444,187756,Northeast
2020-09-22,Bihar,15.96,39.79,33.44,1155578,219474,East
2020-09-22,Chhattisgarh,11.18,51.19,45.46,2200409,277037,Central
2020-09-22,Goa,15.84,41.46,34.9,996252,187538,West
2020-09-22,Gujarat,10.16,47.82,42.96,1441615,163011,West
2020-09-22,Haryana,23.69,51.56,39.35,897901,278732,North
2020-09-22,Himachal Pradesh,13.18,40.69,35.32,1282801,194701,North
2020-09-22,Jharkhand,14.21,51.49,44.17,850491,140823,East
2020-09-22,Karnataka,8.36,41.13,37.69,1704926,155446,South
2020-09-22,Kerala,16.8,49.12,40.87,484093,97753,South
2020-09-22,Madhya Pradesh,11.97,39.42,34.7,1551351,211017,Central
2020-09-22,Maharashtra,11.07,51.66,45.94,1274187,158601,West
2020-09-22,Manipur,18.26,54.73,44.74,1568294,350337,Northeast
2020-09-22,Meghalaya,11.49,48.79,43.19,538438,69866,Northeast
2020-09-22,Mizoram,8.67,40.76,37.22,207231,19681,Northeast
2020-09-22,Nagaland,26.61,47.52,34.87,1001945,363326,Northeast
2020-09-22,Odisha,11.49,39.35,34.83,1320650,171393,East
2020-09-22,Punjab,13.88,41.19,35.47,1547028,249421,North
2020-09-22,Rajasthan,31.06,50.07,34.52,660949,297757,North
2020-09-22,Sikkim,9.08,46.01,41.83,1755896,175305,Northeast
2020-09-22,Tamil Nadu,7.83,46.4,42.77,1807949,153503,South
2020-09-22,Telangana,10.94,43.7,38.92,498914,61268,South
2020-09-22,Tripura,15.3,39.71,33.64,531269,95937,Northeast
2020-09-22,Uttar Pradesh,10.56,40.41,36.15,746670,88165,North
2020-09-22,Uttarakhand,11.12,49.07,43.62,1436757,179679,North
2020-09-22,West Bengal,11.07,43.99,39.12,1676994,208659,East
2020-09-22,Delhi,20.35,48.78,38.86,415049,106018,North
2020-09-22,Jammu & Kashmir,18.5,49.5,40.34,791790,179780,North
2020-10-22,Andhra Pradesh,11.0,52.23,46.49,816636,100904,South
2020-10-22,Arunachal Pradesh,9.44,48.93,44.31,1605684,167344,Northeast
2020-10-22,Assam,11.37,41.61,36.88,239502,30724,Northeast
2020-10-22,Bihar,15.22,43.17,36.6,1258663,225952,East
2020-10-22,Chhattisgarh,11.2,49.3,43.78,731752,92272,Central
2020-10-22,Goa,14.55,53.42,45.65,1606025,273529,West
2020-10-22,Gujarat,7.75,45.6,42.07,1081821,90832,West
2020-10-22,Haryana,23.44,52.7,40.35,1194201,365603,North
2020-10-22,Himachal Pradesh,12.42,39.88,34.93,838793,118965,North
2020-10-22,Jharkhand,12.57,38.71,33.85,1296260,186335,East
2020-10-22,Karnataka,7.54,52.59,48.63,882546,71985,South
2020-10-22,Kerala,16.56,53.48,44.63,1737302,344702,South
2020-10-22,Madhya Pradesh,10.13,42.79,38.45,1702408,191889,Central
2020-10-22,Maharashtra,10.6,39.91,35.68,1308384,155092,West
2020-10-22,Manipur,16.69,42.11,35.08,195000,39066,Northeast
2020-10-22,Meghalaya,10.29,45.97,41.24,765245,87798,Northeast
2020-10-22,Mizoram,6.63,43.1,40.24,1546956,109913,Northeast
2020-10-22,Nagaland,25.54,38.82,28.9,1318865,452429,Northeast
2020-10-22,Odisha,10.46,48.08,43.05,1944059,227141,East
2020-10-22,Punjab,13.44,41.15,35.62,304685,47300,North
2020-10-22,Rajasthan,30.61,38.59,26.78,836196,368808,North
2020-10-22,Sikkim,6.6,54.92,51.3,2231781,157692,Northeast
2020-10-22,Tamil Nadu,8.03,52.13,47.95,1532069,133800,South
2020-10-22,Telangana,10.55,39.95,35.74,329647,38870,South
2020-10-22,Tripura,13.93,52.1,44.84,1997807,323363,Northeast
2020-10-22,Uttar Pradesh,9.73,47.72,43.08,1218402,131365,North
2020-10-22,Uttarakhand,7.47,45.39,42.0,1672522,135041,North
2020-10-22,West Bengal,9.87,48.23,43.47,1963386,214973,East
2020-10-22,Delhi,20.8,48.73,38.59,1220601,320622,North
2020-10-22,Jammu & Kashmir,16.73,49.94,41.59,652315,131044,North
2020-11-21,Andhra Pradesh,10.63,46.29,41.37,1421094,168982,South
2020-11-21,Arunachal Pradesh,7.85,54.16,49.91,1598510,136164,Northeast
2020-11-21,Assam,12.46,48.78,42.7,349814,49786,Northeast
2020-11-21,Bihar,15.98,42.32,35.56,756860,143951,East
2020-11-21,Chhattisgarh,9.63,40.38,36.49,636990,67916,Central
2020-11-21,Goa,13.49,54.52,47.16,938971,146476,West
2020-11-21,Gujarat,6.9,48.38,45.05,794181,58851,West
2020-11-21,Haryana,22.76,41.52,32.07,905845,266886,North
2020-11-21,Himachal Pradesh,11.48,51.64,45.72,1405436,182211,North
2020-11-21,Jharkhand,11.52,46.72,41.33,752542,98003,East
2020-11-21,Karnataka,7.1,39.48,36.68,1201897,91801,South
2020-11-21,Kerala,16.26,39.94,33.44,686718,133354,South
2020-11-21,Madhya Pradesh,9.78,46.39,41.85,1531815,166145,Central
2020-11-21,Maharashtra,10.54,54.88,49.09,535949,63152,West
2020-11-21,Manipur,16.36,45.17,37.78,887729,173607,Northeast
2020-11-21,Meghalaya,8.51,53.43,48.88,1815017,168894,Northeast
2020-11-21,Mizoram,6.16,52.0,48.8,2341378,153676,Northeast
2020-11-21,Nagaland,25.14,51.96,38.9,197226,66234,Northeast
2020-11-21,Odisha,9.24,42.38,38.46,295353,30060,East
2020-11-21,Punjab,12.34,48.26,42.31,1518707,213822,North
2020-11-21,Rajasthan,29.31,45.76,32.35,698895,289772,North
2020-11-21,Sikkim,5.91,40.06,37.69,898995,56480,Northeast
2020-11-21,Tamil Nadu,8.02,39.36,36.21,759058,66177,South
2020-11-21,Telangana,10.09,54.01,48.56,1703839,191119,South
2020-11-21,Tripura,12.35,48.09,42.15,229976,32409,Northeast
2020-11-21,Uttar Pradesh,9.85,48.81,44.0,2028495,221711,North
2020-11-21,Uttarakhand,9.19,50.31,45.69,476281,48180,North
2020-11-21,West Bengal,10.15,53.34,47.93,382923,43275,East
2020-11-21,Delhi,17.71,38.2,31.43,754156,162296,North
2020-11-21,Jammu & Kashmir,17.21,43.02,35.61,956901,198930,North
2020-12-21,Andhra Pradesh,10.4,50.4,45.16,1551282,179976,South
2020-12-21,Arunachal Pradesh,10.25,52.38,47.01,1699881,194122,Northeast
2020-12-21,Assam,15.04,42.68,36.26,681189,120543,Northeast
2020-12-21,Bihar,15.17,51.41,43.62,1094253,195635,East
2020-12-21,Chhattisgarh,11.69,52.58,46.43,2147525,284158,Central
2020-12-21,Goa,15.05,45.33,38.5,744998,132029,West
2020-12-21,Gujarat,7.69,48.22,44.51,1635730,136356,West
2020-12-21,Haryana,24.9,49.7,37.33,815772,270478,North
2020-12-21,Himachal Pradesh,12.66,40.42,35.31,1590697,230585,North
2020-12-21,Jharkhand,12.29,43.88,38.49,459938,64456,East
2020-12-21,Karnataka,8.4,48.83,44.72,909122,83400,South
2020-12-21,Kerala,16.73,39.22,32.66,765240,153792,South
2020-12-21,Madhya Pradesh,10.95,48.3,43.01,920679,113227,Central
2020-12-21,Maharashtra,10.72,41.7,37.23,1841701,221054,West
2020-12-21,Manipur,19.58,40.39,32.48,872208,212308,Northeast
2020-12-21,Meghalaya,10.49,38.47,34.43,955317,111999,Northeast
2020-12-21,Mizoram,8.48,38.66,35.38,226208,20963,Northeast
2020-12-21,Nagaland,25.89,44.6,33.05,403242,140875,Northeast
2020-12-21,Odisha,9.32,53.3,48.33,494271,50801,East
2020-12-21,Punjab,13.08,54.25,47.16,902005,135727,North
2020-12-21,Rajasthan,30.85,52.05,35.99,1773747,791505,North
2020-12-21,Sikkim,8.49,42.9,39.26,1894434,175676,Northeast
2020-12-21,Tamil Nadu,8.03,43.79,40.27,1182458,103262,South
2020-12-21,Telangana,9.97,40.62,36.57,1094032,121210,South
2020-12-21,Tripura,15.62,52.17,44.02,1092620,202282,Northeast
2020-12-21,Uttar Pradesh,10.06,43.14,38.8,646770,72371,North
2020-12-21,Uttarakhand,8.55,54.43,49.77,1498019,140127,North
2020-12-21,West Bengal,10.37,43.9,39.35,1224624,141704,East
2020-12-21,Delhi,19.63,48.65,39.1,1055685,257776,North
2020-12-21,Jammu & Kashmir,17.38,44.83,37.04,1841758,387343,North
2021-01-20,Andhra Pradesh,7.46,47.68,44.12,1452887,117181,South
2021-01-20,Arunachal Pradesh,5.65,41.42,39.08,890337,53312,Northeast
2021-01-20,Assam,8.81,47.23,43.07,656797,63421,Northeast
2021-01-20,Bihar,10.58,54.39,48.64,2233651,264164,East
2021-01-20,Chhattisgarh,6.74,52.79,49.23,535591,38724,Central
2021-01-20,Goa,11.35,51.44,45.6,484162,61959,West
2021-01-20,Gujarat,3.9,52.91,50.85,2414373,97919,West
2021-01-20,Haryana,19.93,40.53,32.45,837938,208549,North
2021-01-20,Himachal Pradesh,8.12,52.68,48.4,1524354,134702,North
2021-01-20,Jharkhand,8.84,44.38,40.46,722559,70089,East
2021-01-20,Karnataka,4.14,44.57,42.73,1196619,51703,South
2021-01-20,Kerala,11.55,46.37,41.01,1270512,165902,South
2021-01-20,Madhya Pradesh,6.29,51.0,47.79,1472405,98749,Central
2021-01-20,Maharashtra,6.66,54.25,50.64,710031,50666,West
2021-01-20,Manipur,14.26,53.18,45.6,356141,59245,Northeast
2021-01-20,Meghalaya,5.97,53.02,49.86,1255081,79635,Northeast
2021-01-20,Mizoram,5.7,53.75,50.69,297035,17943,Northeast
2021-01-20,Nagaland,20.98,46.11,36.43,1309619,347787,Northeast
2021-01-20,Odisha,6.79,40.29,37.55,693642,50541,East
2021-01-20,Punjab,9.51,44.1,39.9,1644032,172797,North
2021-01-20,Rajasthan,25.21,54.28,40.59,219144,73886,North
2021-01-20,Sikkim,2.48,54.96,53.6,1900433,48385,Northeast
2021-01-20,Tamil Nadu,4.1,38.24,36.67,1401128,59925,South
2021-01-20,Telangana,7.12,52.18,48.47,1857350,142279,South
2021-01-20,Tripura,9.97,51.07,45.98,1592531,176301,Northeast
2021-01-20,Uttar Pradesh,4.65,51.02,48.65,2095133,102288,North
2021-01-20,Uttarakhand,4.22,46.29,44.34,376616,16578,North
2021-01-20,West Bengal,6.5,44.93,42.01,979621,68095,East
2021-01-20,Delhi,14.88,39.89,33.95,1404652,245495,North
2021-01-20,Jammu & Kashmir,13.09,54.11,47.03,388171,58471,North
2021-02-19,Andhra Pradesh,7.78,43.09,39.74,336140,28370,South
2021-02-19,Arunachal Pradesh,5.95,46.51,43.75,1782753,112702,Northeast
2021-02-19,Assam,9.22,39.24,35.62,823938,83639,Northeast
2021-02-19,Bihar,11.63,43.02,38.02,587668,77303,East
2021-02-19,Chhattisgarh,7.76,53.8,49.62,1152738,96942,Central
2021-02-19,Goa,9.96,53.4,48.09,936133,103496,West
2021-02-19,Gujarat,3.73,48.89,47.07,2308798,89365,West
2021-02-19,Haryana,19.65,48.26,38.77,818214,200136,North
2021-02-19,Himachal Pradesh,7.98,53.11,48.87,1350755,117062,North
